Filename,Directory,ID,Class,sam_period,Confidence,SNR (dB),Time through recording,D500X_Time,D500X_Date,Duration (ms)
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,18,Pip,transect sect 3,0.99907,12.87328,0:00:03,11:16:11 PM,10/7/12,5.184
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,22,Pip,transect sect 3,0.996073,12.893588,0:00:04,11:16:11 PM,10/7/12,5.952
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,39,Pip,transect sect 3,0.997142,18.383315,0:00:06,11:16:11 PM,10/7/12,5.056
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,40,Pip,transect sect 3,0.946764,12.601441,0:00:06,11:16:11 PM,10/7/12,3.328
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,13,Ppip,transect sect 3,0.70113,10.226849,0:00:02,11:16:11 PM,10/7/12,4.544
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,14,Ppip,transect sect 3,0.993978,12.565273,0:00:02,11:16:11 PM,10/7/12,5.184
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,15,Ppip,transect sect 3,0.85828,12.075526,0:00:03,11:16:11 PM,10/7/12,3.712
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,16,Ppip,transect sect 3,0.985239,11.80271,0:00:03,11:16:11 PM,10/7/12,5.568
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,20,Ppip,transect sect 3,0.998982,12.053913,0:00:04,11:16:11 PM,10/7/12,6.016
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,21,Ppip,transect sect 3,0.953445,10.051349,0:00:04,11:16:11 PM,10/7/12,5.312
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,24,Ppip,transect sect 3,0.955619,11.788599,0:00:04,11:16:11 PM,10/7/12,5.568
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,26,Ppip,transect sect 3,0.540099,10.211014,0:00:04,11:16:11 PM,10/7/12,4.992
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,28,Ppip,transect sect 3,0.99,11.585774,0:00:04,11:16:11 PM,10/7/12,5.312
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,34,Ppip,transect sect 3,0.992217,11.40897,0:00:05,11:16:11 PM,10/7/12,6.464
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,35,Ppip,transect sect 3,0.986,12.425172,0:00:06,11:16:11 PM,10/7/12,6.656
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,36,Ppip,transect sect 3,0.99745,14.611596,0:00:06,11:16:11 PM,10/7/12,6.72
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,37,Ppip,transect sect 3,0.956705,11.305467,0:00:06,11:16:11 PM,10/7/12,4.864
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,38,Ppip,transect sect 3,0.984043,13.411141,0:00:06,11:16:11 PM,10/7/12,5.312
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,44,Ppip,transect sect 3,0.988781,10.710968,0:00:08,11:16:11 PM,10/7/12,4.544
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,45,Ppip,transect sect 3,0.964871,10.398199,0:00:08,11:16:11 PM,10/7/12,5.568
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,50,Ppip,transect sect 3,0.989975,15.261837,0:00:09,11:16:11 PM,10/7/12,5.76
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,1,Mbra/Mmys,transect sect 3,0.850986,19.485111,0:00:00,11:15:56 PM,10/7/12,2.944
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,5,Mbra/Mmys,transect sect 3,0.971541,21.930487,0:00:00,11:15:56 PM,10/7/12,2.88
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,24,Mbra/Mmys,transect sect 3,0.795462,13.699719,0:00:05,11:15:56 PM,10/7/12,3.584
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,67,Mbra/Mmys,transect sect 3,0.860487,13.50616,0:00:08,11:15:56 PM,10/7/12,2.304
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,69,Mbra/Mmys,transect sect 3,0.993785,13.542496,0:00:09,11:15:56 PM,10/7/12,2.56
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,70,Mbra/Mmys,transect sect 3,0.880964,17.824842,0:00:09,11:15:56 PM,10/7/12,3.072
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,71,Mbra/Mmys,transect sect 3,0.947758,19.522364,0:00:09,11:15:56 PM,10/7/12,3.008
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,72,Mbra/Mmys,transect sect 3,0.999188,13.782298,0:00:09,11:15:56 PM,10/7/12,2.496
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,74,Mbra/Mmys,transect sect 3,0.997179,22.927668,0:00:09,11:15:56 PM,10/7/12,3.136
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,75,Mbra/Mmys,transect sect 3,0.890271,21.728478,0:00:09,11:15:56 PM,10/7/12,3.264
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,76,Mbra/Mmys,transect sect 3,0.996161,20.413338,0:00:09,11:15:56 PM,10/7/12,3.136
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,77,Mbra/Mmys,transect sect 3,0.997508,23.442646,0:00:09,11:15:56 PM,10/7/12,3.2
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,78,Mbra/Mmys,transect sect 3,0.979191,17.777064,0:00:09,11:15:56 PM,10/7/12,2.752
T18_2012-07-10_23_15_56_M00271.WAV,D500x_10 Jul T18 towards,79,Mbra/Mmys,transect sect 3,0.949568,14.525996,0:00:09,11:15:56 PM,10/7/12,2.176
